epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,249.132,0.68341,0.40241,1.01624,0.96516,0.97425,0.98929,0.89198,0.48687,0.31176,0.93958,0.0003995,0.0003995,0.0003995
99,251.315,0.67675,0.3993,1.01462,0.9617,0.97802,0.98739,0.86467,0.55247,0.32369,0.93802,0.000383,0.000383,0.000383
100,253.495,0.67606,0.40059,1.01989,0.95911,0.98242,0.98736,0.88656,0.49511,0.30416,0.92699,0.0003665,0.0003665,0.0003665
101,255.61,0.68249,0.40183,1.01936,0.95932,0.98483,0.9877,0.88791,0.49005,0.30773,0.91854,0.00035,0.00035,0.00035
102,257.93,0.66469,0.39734,1.01069,0.97795,0.96264,0.98762,0.88184,0.50777,0.31133,0.92153,0.0003335,0.0003335,0.0003335
103,261.293,0.67681,0.39848,1.0177,0.97765,0.96152,0.98787,0.88694,0.48342,0.31036,0.92884,0.000317,0.000317,0.000317
104,263.507,0.68032,0.39635,1.01842,0.97985,0.96181,0.98791,0.87958,0.51688,0.31867,0.92875,0.0003005,0.0003005,0.0003005
105,265.731,0.66684,0.39224,1.0057,0.98431,0.96516,0.98798,0.88114,0.50841,0.31621,0.93087,0.000284,0.000284,0.000284
106,267.959,0.67648,0.39134,1.02351,0.98216,0.96802,0.98844,0.89147,0.4802,0.30804,0.91654,0.0002675,0.0002675,0.0002675
107,270.234,0.67196,0.38777,1.00993,0.9778,0.96806,0.98889,0.87289,0.54614,0.32148,0.91369,0.000251,0.000251,0.000251
108,273.415,0.67999,0.38627,1.01085,0.97806,0.96044,0.98877,0.89019,0.4867,0.30394,0.9101,0.0002345,0.0002345,0.0002345
109,276.092,0.66434,0.38551,1.00161,0.96524,0.9764,0.98849,0.89039,0.48151,0.30044,0.91383,0.000218,0.000218,0.000218
110,278.341,0.6768,0.39507,1.00746,0.96105,0.98022,0.98869,0.87839,0.52242,0.31561,0.91976,0.0002015,0.0002015,0.0002015
111,282.309,0.59639,0.39851,0.966,0.96733,0.97582,0.98897,0.89085,0.47875,0.31163,0.92081,0.000185,0.000185,0.000185
112,284.457,0.58148,0.35634,0.96539,0.96653,0.97802,0.9892,0.88684,0.48136,0.32304,0.92998,0.0001685,0.0001685,0.0001685
113,287.833,0.55404,0.32124,0.94137,0.96488,0.98242,0.98994,0.86612,0.54129,0.34352,0.94032,0.000152,0.000152,0.000152
114,289.917,0.57382,0.32874,0.96271,0.96925,0.98022,0.99082,0.87234,0.53212,0.33778,0.94317,0.0001355,0.0001355,0.0001355
115,291.973,0.57168,0.31822,0.95404,0.97369,0.97599,0.99047,0.88474,0.49506,0.32521,0.93965,0.000119,0.000119,0.000119
116,294.133,0.56927,0.3214,0.96373,0.97363,0.9739,0.98959,0.88555,0.49454,0.32088,0.94144,0.0001025,0.0001025,0.0001025
117,296.226,0.56686,0.31349,0.95668,0.97663,0.97582,0.98913,0.88472,0.49691,0.31602,0.9422,8.6e-05,8.6e-05,8.6e-05
118,298.552,0.56677,0.31837,0.95163,0.97577,0.97368,0.98846,0.88785,0.49264,0.31393,0.9433,6.95e-05,6.95e-05,6.95e-05
119,301.603,0.5474,0.30608,0.93728,0.97628,0.97582,0.9883,0.89012,0.49112,0.3126,0.9425,5.3e-05,5.3e-05,5.3e-05
120,303.627,0.55479,0.31411,0.94808,0.97623,0.97582,0.98849,0.89253,0.48599,0.31148,0.94222,3.65e-05,3.65e-05,3.65e-05
